idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label,sweep_source
15,0.0552340739711534,0.1033047702593223,0.2692366021404331,0.0821574201491323,0.2416222823733574,0.248444851106601,34.39111622551616,17.578854363371427,7.689854503476648,7.689854503476648,True,82.3068917711512,7.183597727690209,0.1061517996421633,0.0012152128680408,-0.0003862621895241,-0.0049880385569899,-1,,0,biogas_training_data.csv
16,0.30739960486909,0.0074534332327087,0.5642957076641846,0.0752637125363606,0.0071509497618465,0.0384365919358092,27.598430106709436,29.02819704903735,4.554430370394581,4.554430370394581,True,51.39231634445719,7.151264193781667,0.0722468690425791,0.0004908218783111,-7.185623834169052e-05,-0.0055053988227364,-1,,0,biogas_training_data.csv
17,0.1102241553320756,0.1108402626724929,0.3661579606286972,0.2636006616227882,0.0333498705807315,0.1158270891632143,29.53818698101768,36.79255978730041,3.74659970225144,3.74659970225144,True,56.6768850081725,7.276876057940809,0.0926661307642766,0.0010392430798326,0.0001015432484392,-0.0031146395379032,-1,,0,biogas_training_data.csv
18,0.1994174684809142,0.4866791723886864,0.1376212026277848,0.1695239356750612,0.0003678662311992,0.0063903545963542,33.74303837744662,43.3071278423135,3.2940030561970364,3.2940030561970364,True,48.15273050425988,7.281931445590857,0.0486517456925369,0.0009897220341993,0.0001372139636608,-0.0037242950845507,-1,,0,biogas_training_data.csv
19,0.334226669744043,0.2561956347265465,0.0823683629717899,0.2314005978402985,0.0726411047049325,0.0231676300123893,39.00530204004498,22.494665655281644,5.557626428282596,5.557626428282596,True,70.210651531272,7.308273747237244,0.0769950677193581,0.0019903634583199,1.7556666768186344e-05,-0.00361723991671,-1,,0,biogas_training_data.csv
20,0.1326457664195021,0.1928798594927338,0.0212413331952216,0.2039491670479734,0.0923671758427329,0.3569166980018359,41.64519602790402,42.19057429987208,2.8403706866831717,2.8403706866831717,True,48.05250016979623,7.463992850310092,0.1351068130964424,0.0049146453181421,0.0027050747709099,-0.0013746319210806,-1,,0,biogas_training_data.csv
21,0.0102085358762836,0.1882929316612384,0.3631822987318984,0.2573464983624459,0.1068556833353326,0.0741140520328008,32.74956758060349,21.53312415720976,7.023327570620721,7.023327570620721,True,87.81126335533051,7.182334843898043,0.0852509416667352,0.0008870075331492,-0.000248967180443,-0.0052178934318796,-1,,0,biogas_training_data.csv
22,0.0239275486588941,0.007136526193781,0.2184922311682006,0.0966275775803128,0.6244671902656146,0.0293489261331966,40.73848755004277,36.59403426368129,4.059966418597583,4.059966418597583,True,61.39772401737536,7.367762955577813,0.0485837696766491,0.0019717101391585,0.0003669914533067,-0.0033490396800233,-1,,0,biogas_training_data.csv
23,0.4172441342334398,0.0546148379572053,0.1021873659693503,0.0621706857237048,0.2121445706607562,0.1516384054555436,39.1033075725267,41.22916124087872,2.7529572925118964,2.7529572925118964,True,40.04028270010692,7.4009388837759555,0.0736900522672283,0.0028423926625233,0.0007792700266319,-0.0022850804600398,-1,,0,biogas_training_data.csv
24,0.1493931009675088,0.081775297284816,0.0933191390139054,0.6722604741624996,0.001846164927085,0.0014058236441851,34.1783155107668,32.74964783811575,3.9449450268798616,3.9449450268798616,True,73.77231195264935,7.403963131437377,0.2198007953783447,0.0025068636185079,0.003686012517425,-0.0012259129624477,-1,,0,biogas_training_data.csv
